time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MLTrader,ef0d4926aa5c413bafc9efcb32fbe801,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MLTrader,ef0d4926aa5c413bafc9efcb32fbe801,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-03 09:30:00-05:00,MLTrader,0644acf908c94d77ba5d2d0ec1a58e99,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,MLTrader,0644acf908c94d77ba5d2d0ec1a58e99,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-06 09:30:00-05:00,MLTrader,47311af7b3834868a5311f59d7f4e211,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,MLTrader,47311af7b3834868a5311f59d7f4e211,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,1.0,0.0
2020-01-07 09:30:00-05:00,MLTrader,b98b245d56bf40bd95df1df3f45e0203,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,MLTrader,b98b245d56bf40bd95df1df3f45e0203,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,1.0,0.0
2020-01-08 09:30:00-05:00,MLTrader,be9c6dd3c06641f78cfec5e6d92b74f6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,MLTrader,be9c6dd3c06641f78cfec5e6d92b74f6,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,1.0,0.0
2020-01-09 09:30:00-05:00,MLTrader,fc8ebeef5d984bb3956e1dad08b4dbcd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,MLTrader,fc8ebeef5d984bb3956e1dad08b4dbcd,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,1.0,0.0
2020-01-10 09:30:00-05:00,MLTrader,a84c08c976354e75b2cbb56f24be5467,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,MLTrader,a84c08c976354e75b2cbb56f24be5467,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,1.0,0.0
2020-01-13 09:30:00-05:00,MLTrader,233e819730024e098316a85a90e847ad,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,MLTrader,233e819730024e098316a85a90e847ad,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,1.0,0.0
2020-01-14 09:30:00-05:00,MLTrader,fbb1b1617e4842ecbfeca9fa823b2944,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,MLTrader,fbb1b1617e4842ecbfeca9fa823b2944,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,1.0,0.0
2020-01-15 09:30:00-05:00,MLTrader,1b5c0875f485477194e507d3afdc4caf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,MLTrader,1b5c0875f485477194e507d3afdc4caf,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.3500061035156,1.0,0.0
2020-01-16 09:30:00-05:00,MLTrader,cc47d245e4754a7796bb2c0fa8ca5d7f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 09:30:00-05:00,MLTrader,cc47d245e4754a7796bb2c0fa8ca5d7f,SPY,buy,market,fill,1,gtc,0.0,1,stock,329.70001220703125,1.0,0.0
2020-01-17 09:30:00-05:00,MLTrader,e788548cd8e54a0696060f69392f5cc1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-17 09:30:00-05:00,MLTrader,e788548cd8e54a0696060f69392f5cc1,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.70001220703125,1.0,0.0
2020-01-21 09:30:00-05:00,MLTrader,fdcaada4978a4918baefbdd9dcdc2a00,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-21 09:30:00-05:00,MLTrader,fdcaada4978a4918baefbdd9dcdc2a00,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.8999938964844,1.0,0.0
2020-01-22 09:30:00-05:00,MLTrader,486a02a5de7844fcad399c5f3979cfb6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-22 09:30:00-05:00,MLTrader,486a02a5de7844fcad399c5f3979cfb6,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.239990234375,1.0,0.0
2020-01-23 09:30:00-05:00,MLTrader,fd0ec128e2a14155abf5aa684efe6cec,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-23 09:30:00-05:00,MLTrader,fd0ec128e2a14155abf5aa684efe6cec,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.6300048828125,1.0,0.0
2020-01-24 09:30:00-05:00,MLTrader,0ada7a33898b461bb9d505b42db3ef84,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-24 09:30:00-05:00,MLTrader,0ada7a33898b461bb9d505b42db3ef84,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.44000244140625,1.0,0.0
2020-01-27 09:30:00-05:00,MLTrader,825e0219e5d14d5dba6664b60c6551ed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-27 09:30:00-05:00,MLTrader,825e0219e5d14d5dba6664b60c6551ed,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0299987792969,1.0,0.0
2020-01-28 09:30:00-05:00,MLTrader,4328a42852344be9b68e33dc9631e043,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-28 09:30:00-05:00,MLTrader,4328a42852344be9b68e33dc9631e043,SPY,buy,market,fill,1,gtc,0.0,1,stock,325.05999755859375,1.0,0.0
2020-01-29 09:30:00-05:00,MLTrader,0edd517298bd4c19a56957cce2e6c9e1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,MLTrader,0edd517298bd4c19a56957cce2e6c9e1,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.3800048828125,1.0,0.0
2020-01-30 09:30:00-05:00,MLTrader,e3f944d6109440a48b1e36d21967aea9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 09:30:00-05:00,MLTrader,e3f944d6109440a48b1e36d21967aea9,SPY,buy,market,fill,1,gtc,0.0,1,stock,324.3599853515625,1.0,0.0
2020-01-31 09:30:00-05:00,MLTrader,d3b461d26be4409c90d40d704db24d31,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-31 09:30:00-05:00,MLTrader,d3b461d26be4409c90d40d704db24d31,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.0,1.0,0.0
2020-02-03 09:30:00-05:00,MLTrader,9b689400a3ba483bbe749b65487f8c0d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,9b689400a3ba483bbe749b65487f8c0d,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.3500061035156,1.0,0.0
2020-02-04 09:30:00-05:00,MLTrader,6ac69c81cf5b448bbd10d60c536f8f91,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTrader,6ac69c81cf5b448bbd10d60c536f8f91,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.07000732421875,1.0,0.0
2020-02-05 09:30:00-05:00,MLTrader,e8aa8f5dad4d40599209d1710437ed74,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-05 09:30:00-05:00,MLTrader,e8aa8f5dad4d40599209d1710437ed74,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.2699890136719,1.0,0.0
2020-02-06 09:30:00-05:00,MLTrader,27e2830c42ed4081ac802b6204fcbebb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-06 09:30:00-05:00,MLTrader,27e2830c42ed4081ac802b6204fcbebb,SPY,buy,market,fill,1,gtc,0.0,1,stock,333.9100036621094,1.0,0.0
2020-02-07 09:30:00-05:00,MLTrader,6074baad680b481d89a12f66bd4f74e2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-07 09:30:00-05:00,MLTrader,6074baad680b481d89a12f66bd4f74e2,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.82000732421875,1.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,8568b461ca754bb9b4d421143e3c3c50,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,8568b461ca754bb9b4d421143e3c3c50,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.2300109863281,1.0,0.0
2020-02-11 09:30:00-05:00,MLTrader,4dc5472a08614c5b8519188e05836dd6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTrader,4dc5472a08614c5b8519188e05836dd6,SPY,buy,market,fill,1,gtc,0.0,1,stock,336.1600036621094,1.0,0.0
2020-02-12 09:30:00-05:00,MLTrader,a66a610cbb304294aa599032c65d0c3a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-12 09:30:00-05:00,MLTrader,a66a610cbb304294aa599032c65d0c3a,SPY,buy,market,fill,1,gtc,0.0,1,stock,336.8299865722656,1.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,7654c42ce57a49d3af6ae7a73b48ffbf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,7654c42ce57a49d3af6ae7a73b48ffbf,SPY,buy,market,fill,1,gtc,0.0,1,stock,335.8599853515625,1.0,0.0
2020-02-14 09:30:00-05:00,MLTrader,e3ede1875dba44c68d9e56a0b910ac4f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-14 09:30:00-05:00,MLTrader,e3ede1875dba44c68d9e56a0b910ac4f,SPY,buy,market,fill,1,gtc,0.0,1,stock,337.510009765625,1.0,0.0
2020-02-18 09:30:00-05:00,MLTrader,5aaad4c954314e379ad0f96dc459b965,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-18 09:30:00-05:00,MLTrader,5aaad4c954314e379ad0f96dc459b965,SPY,buy,market,fill,1,gtc,0.0,1,stock,336.510009765625,1.0,0.0
2020-02-19 09:30:00-05:00,MLTrader,f743559b5bcf44c88a6fc7db4ef654c2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-19 09:30:00-05:00,MLTrader,f743559b5bcf44c88a6fc7db4ef654c2,SPY,buy,market,fill,1,gtc,0.0,1,stock,337.7900085449219,1.0,0.0
2020-02-20 09:30:00-05:00,MLTrader,1a9d911f96c64cf2b464547f9edefc27,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-20 09:30:00-05:00,MLTrader,1a9d911f96c64cf2b464547f9edefc27,SPY,buy,market,fill,1,gtc,0.0,1,stock,337.739990234375,1.0,0.0
2020-02-21 09:30:00-05:00,MLTrader,cf049435fc8d445db9fa0887ad91167c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-21 09:30:00-05:00,MLTrader,cf049435fc8d445db9fa0887ad91167c,SPY,buy,market,fill,1,gtc,0.0,1,stock,335.4700012207031,1.0,0.0
2020-02-24 09:30:00-05:00,MLTrader,eeaa6996c47c40a9834966a763e919d7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-24 09:30:00-05:00,MLTrader,eeaa6996c47c40a9834966a763e919d7,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.1400146484375,1.0,0.0
2020-02-25 09:30:00-05:00,MLTrader,b2695ce57b8f462eae1acbf20b397fa0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-25 09:30:00-05:00,MLTrader,b2695ce57b8f462eae1acbf20b397fa0,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.94000244140625,1.0,0.0
2020-02-26 09:30:00-05:00,MLTrader,233134b3289e4bd2a2be9cd526f63d92,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,MLTrader,233134b3289e4bd2a2be9cd526f63d92,SPY,buy,market,fill,1,gtc,0.0,1,stock,314.17999267578125,1.0,0.0
2020-02-27 09:30:00-05:00,MLTrader,d1fbb0338f1c43a0b72e2ff7ab4eeec8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,MLTrader,d1fbb0338f1c43a0b72e2ff7ab4eeec8,SPY,buy,market,fill,1,gtc,0.0,1,stock,305.4599914550781,1.0,0.0
2020-02-28 09:30:00-05:00,MLTrader,ec8817df3d3a4a10b16b8481c06a6482,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,MLTrader,ec8817df3d3a4a10b16b8481c06a6482,SPY,buy,market,fill,1,gtc,0.0,1,stock,288.70001220703125,1.0,0.0
2020-03-02 09:30:00-05:00,MLTrader,365da14af3ce423ca9f9b646b0f8ddf7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-02 09:30:00-05:00,MLTrader,365da14af3ce423ca9f9b646b0f8ddf7,SPY,buy,market,fill,1,gtc,0.0,1,stock,298.2099914550781,1.0,0.0
2020-03-03 09:30:00-05:00,MLTrader,7bf8768b359742a8b9b3f620164c881d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-03 09:30:00-05:00,MLTrader,7bf8768b359742a8b9b3f620164c881d,SPY,buy,market,fill,1,gtc,0.0,1,stock,309.5,1.0,0.0
2020-03-04 09:30:00-05:00,MLTrader,77429685019141d6b4da8f0ee11fb132,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-04 09:30:00-05:00,MLTrader,77429685019141d6b4da8f0ee11fb132,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1199951171875,1.0,0.0
2020-03-05 09:30:00-05:00,MLTrader,4219987e3e5547f7ab95eaf25fe335cf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-05 09:30:00-05:00,MLTrader,4219987e3e5547f7ab95eaf25fe335cf,SPY,buy,market,fill,1,gtc,0.0,1,stock,304.9800109863281,1.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,b2685eb5b4fb4f4a91f52a5672f462a2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,b2685eb5b4fb4f4a91f52a5672f462a2,SPY,buy,market,fill,1,gtc,0.0,1,stock,293.1499938964844,1.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,ec391872c22241d38e28d64b963bbc1d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,ec391872c22241d38e28d64b963bbc1d,SPY,buy,market,fill,1,gtc,0.0,1,stock,275.29998779296875,1.0,0.0
2020-03-10 09:30:00-04:00,MLTrader,e63caf9a515d47ad87e9f58b3e416d9c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTrader,e63caf9a515d47ad87e9f58b3e416d9c,SPY,buy,market,fill,1,gtc,0.0,1,stock,284.6400146484375,1.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,b5af9b1464bc48bebec1f20a46436022,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,b5af9b1464bc48bebec1f20a46436022,SPY,buy,market,fill,1,gtc,0.0,1,stock,280.70001220703125,1.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,a093f85f56ab41149cd802b41434fcbb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,a093f85f56ab41149cd802b41434fcbb,SPY,buy,market,fill,1,gtc,0.0,1,stock,256.0,1.0,0.0
2020-03-13 09:30:00-04:00,MLTrader,a3f81fabf527430fa1a80fc226c50940,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-13 09:30:00-04:00,MLTrader,a3f81fabf527430fa1a80fc226c50940,SPY,buy,market,fill,1,gtc,0.0,1,stock,263.0899963378906,1.0,0.0
2020-03-16 09:30:00-04:00,MLTrader,fdb171d5ec1e40c68ba6f2cd6405d89f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-16 09:30:00-04:00,MLTrader,fdb171d5ec1e40c68ba6f2cd6405d89f,SPY,buy,market,fill,1,gtc,0.0,1,stock,241.17999267578125,1.0,0.0
2020-03-17 09:30:00-04:00,MLTrader,bf39462e52a24e3bba888f44079794fb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,bf39462e52a24e3bba888f44079794fb,SPY,buy,market,fill,1,gtc,0.0,1,stock,245.0399932861328,1.0,0.0
2020-03-18 09:30:00-04:00,MLTrader,fdf222b221f74c5486cc3460e028ca2a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,fdf222b221f74c5486cc3460e028ca2a,SPY,buy,market,fill,1,gtc,0.0,1,stock,236.25,1.0,0.0
2020-03-19 09:30:00-04:00,MLTrader,d14489a482f94c149cfbf8ce59b87086,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-19 09:30:00-04:00,MLTrader,d14489a482f94c149cfbf8ce59b87086,SPY,buy,market,fill,1,gtc,0.0,1,stock,239.25,1.0,0.0
2020-03-20 09:30:00-04:00,MLTrader,44f5c12044374c93af47a4bf789c5d20,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-20 09:30:00-04:00,MLTrader,44f5c12044374c93af47a4bf789c5d20,SPY,buy,market,fill,1,gtc,0.0,1,stock,242.52999877929688,1.0,0.0
2020-03-23 09:30:00-04:00,MLTrader,a10f390714ea4543abf55878025a5504,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-23 09:30:00-04:00,MLTrader,a10f390714ea4543abf55878025a5504,SPY,buy,market,fill,1,gtc,0.0,1,stock,228.19000244140625,1.0,0.0
2020-03-24 09:30:00-04:00,MLTrader,dfa4db0186a347728d279196a1516aa2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-24 09:30:00-04:00,MLTrader,dfa4db0186a347728d279196a1516aa2,SPY,buy,market,fill,1,gtc,0.0,1,stock,234.4199981689453,1.0,0.0
2020-03-25 09:30:00-04:00,MLTrader,f5f890375286435887b1260dc6c45a30,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-25 09:30:00-04:00,MLTrader,f5f890375286435887b1260dc6c45a30,SPY,buy,market,fill,1,gtc,0.0,1,stock,244.8699951171875,1.0,0.0
2020-03-26 09:30:00-04:00,MLTrader,81ec38dec1574666a31238e894e1bac3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-26 09:30:00-04:00,MLTrader,81ec38dec1574666a31238e894e1bac3,SPY,buy,market,fill,1,gtc,0.0,1,stock,249.52000427246094,1.0,0.0
2020-03-27 09:30:00-04:00,MLTrader,fdcb985c7f6247548fd1bb4a5a7fe8cd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-27 09:30:00-04:00,MLTrader,fdcb985c7f6247548fd1bb4a5a7fe8cd,SPY,buy,market,fill,1,gtc,0.0,1,stock,253.27000427246094,1.0,0.0
2020-03-30 09:30:00-04:00,MLTrader,2acb265e09f241eba29f3fb9bf8c86f4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-30 09:30:00-04:00,MLTrader,2acb265e09f241eba29f3fb9bf8c86f4,SPY,buy,market,fill,1,gtc,0.0,1,stock,255.6999969482422,1.0,0.0
2020-03-31 09:30:00-04:00,MLTrader,72142cdb47534c448d3053dba77f5629,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-31 09:30:00-04:00,MLTrader,72142cdb47534c448d3053dba77f5629,SPY,buy,market,fill,1,gtc,0.0,1,stock,260.55999755859375,1.0,0.0
2020-04-01 09:30:00-04:00,MLTrader,3822ab0373f743e58e59c2d65d411380,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
